Wavenumber (cm^-1)    Wavelength (um)        Normalized SRF
12135    0.824062628759786    1.0000000
12140    0.823723228995058    0.9999698
12145    0.823384108686702    0.999911
12150    0.823045267489712    0.9998284
12155    0.822706705059646    0.9997272
12160    0.822368421052632    0.999612
12165    0.82203041512536    0.999488
12170    0.821692686935086    0.9993596
12175    0.82135523613963    0.9992318
12180    0.821018062397373    0.9991092
12185    0.820681165367255    0.9989967
12190    0.820344544708778    0.9988992
12195    0.820008200082001    0.9988213
12200    0.819672131147541    0.9987668
12205    0.819336337566571    0.9987324
12210    0.819000819000819    0.9987132
12215    0.818665575112567    0.9987045
12220    0.818330605564648    0.9987017
12225    0.81799591002045    0.9986997
12230    0.817661488143908    0.9986943
12235    0.81732733959951    0.9986806
12240    0.816993464052288    0.9986538
12245    0.816659861167824    0.998609
12250    0.816326530612245    0.9985415
12255    0.815993472052224    0.9984462
12260    0.815660685154976    0.998319
12265    0.815328169588259    0.9981592
12270    0.814995925020375    0.9979671
12275    0.814663951120163    0.9977422
12280    0.814332247557003    0.9974846
12285    0.814000814000814    0.9971938
12290    0.81366965012205    0.9968691
12295    0.813338755591704    0.9965102
12300    0.813008130081301    0.9961159
12305    0.812677773262901    0.9956853
12310    0.812347684809098    0.9952174
12315    0.812017864393017    0.9947106
12320    0.811688311688312    0.9941643
12325    0.811359026369168    0.9935802
12330    0.8110300081103        0.9929603
12335    0.810701256586948    0.9923073
12340    0.810372771474878    0.9916232
12345    0.810044552450385    0.9909097
12350    0.809716599190283    0.9901687
12355    0.809388911371914    0.9894021
12360    0.809061488673139    0.9886112
12365    0.808734330772341    0.9877976
12370    0.808407437348424    0.9869627
12375    0.808080808080808    0.9861077
12380    0.807754442649435    0.9852341
12385    0.80742834073476    0.9843465
12390    0.807102502017756    0.9834503
12395    0.806776926179911    0.9825518
12400    0.806451612903226    0.9816564
12405    0.806126561870214    0.9807702
12410    0.8058017727639        0.979899
12415    0.805477245267821    0.9790487
12420    0.805152979066023    0.9782252
12425    0.804828973843058    0.9774348
12430    0.80450522928399    0.9766839
12435    0.804181745074387    0.9759786
12440    0.803858520900321    0.9753258
12445    0.803535556448373    0.97473
12450    0.803212851405622    0.974193
12455    0.802890405459655    0.9737172
12460    0.802568218298555    0.9733048
12465    0.802246289610911    0.9729586
12470    0.801924619085806    0.9726816
12475    0.801603206412826    0.9724773
12480    0.801282051282051    0.9723488
12485    0.800961153384061    0.9723005
12490    0.800640512409928    0.9723366
12495    0.80032012805122    0.9724619
12500    0.80000000        0.9726813
12505    0.79968012794882    0.972998
12510    0.799360511590727    0.9734051
12515    0.799041150619257    0.9738935
12520    0.798722044728435    0.974455
12525    0.798403193612774    0.975081
